Date,Open,High,Low,Close,Adj Close,Volume
2022-02-22,859.905029,871.288025,831.713013,865.598022,865.598022,0
2022-02-23,862.778015,897.145020,859.338989,859.723022,859.723022,0
2022-02-24,855.421997,864.309021,855.421997,863.424011,863.424011,0
2022-02-25,855.421997,900.518982,855.421997,890.161011,890.161011,0
2022-02-28,861.445984,945.137024,854.203003,939.890991,939.890991,0
2022-03-01,993.791992,995.934021,992.025024,995.934021,995.934021,0
2022-03-02,993.791992,1012.306030,977.252991,985.479004,985.479004,0
2022-03-03,954.958984,957.302979,953.677002,954.401978,954.401978,0
2022-03-04,954.958984,957.302979,881.997986,887.254028,887.254028,0
2022-03-07,853.221008,855.950012,852.432007,853.780029,853.780029,0
2022-03-08,866.620972,870.572998,866.502991,870.572998,870.572998,0
2022-03-09,866.620972,945.398010,866.502991,930.130005,930.130005,0
2022-03-10,884.942993,886.664001,884.942993,886.362976,886.362976,0
2022-03-11,884.942993,899.723999,860.401978,871.901978,871.901978,0
2022-03-14,849.633972,880.179016,846.382019,868.004028,868.004028,0
2022-03-15,880.341003,894.343018,857.489014,884.283997,884.283997,0
2022-03-16,885.841980,930.778015,878.148987,925.723022,925.723022,0
2022-03-17,921.635986,930.372009,916.695984,924.137024,924.137024,0
2022-03-18,927.429993,961.226013,913.815979,950.885010,950.885010,0
2022-03-21,942.492004,950.271973,927.760010,944.794006,944.794006,0
2022-03-22,944.297974,987.633972,939.455017,979.952026,979.952026,0
2022-03-23,976.572998,984.992004,960.052002,975.776978,975.776978,0
2022-03-24,979.453003,1017.213989,977.463013,1010.577026,1010.577026,0
2022-03-25,1013.435974,1035.250977,1007.859985,1018.353027,1018.353027,0
2022-03-28,1098.301025,1100.609009,1096.717041,1099.651001,1099.651001,0
2022-03-29,1093.063965,1093.178955,1089.063965,1089.063965,1089.063965,0
2022-03-30,1093.063965,1106.880005,1081.895996,1094.332031,1094.332031,0
2022-03-31,1064.139038,1064.139038,1060.800049,1061.814941,1061.814941,0
2022-04-01,1064.139038,1091.563965,1033.087036,1085.802002,1085.802002,0
2022-04-04,1099.041016,1113.380981,1063.880981,1089.933960,1089.933960,0
2022-04-05,1092.954956,1106.993042,1072.876953,1074.472046,1074.472046,0
2022-04-06,1079.633057,1081.595947,1010.159973,1020.229980,1020.229980,0
2022-04-07,1015.008972,1017.018982,1014.885010,1016.520996,1016.520996,0
2022-04-08,1015.008972,1029.063965,1001.421021,1004.159973,1004.159973,0
2022-04-11,922.526001,932.612000,919.966980,932.612000,932.612000,0
2022-04-12,931.940002,932.442993,929.267029,932.179016,932.179016,0
2022-04-13,931.940002,968.359009,929.267029,963.229004,963.229004,0
2022-04-14,937.666992,938.601990,937.517029,937.517029,937.517029,0
2022-04-18,952.101990,953.267029,950.815002,951.794983,951.794983,0
2022-04-19,966.073975,968.888977,965.940979,968.888977,968.888977,0
2022-04-20,966.791016,968.973022,966.458984,967.010986,967.010986,0
2022-04-21,966.791016,998.187988,947.921997,949.148010,949.148010,0
2022-04-22,947.793030,950.327026,919.612976,926.278015,926.278015,0
2022-04-25,940.601990,944.690002,939.614990,942.096008,942.096008,0
2022-04-26,893.252014,894.168030,890.507019,890.507019,890.507019,0
